address,name_tag,exchange,txn_count,eth_balance,graph_score,altcoin_count,token_count,wallet_type,composite_score,etherscan
0x564286362092d8e7936f0549571a803b203aaced,Binance 3,binance,4864447,2.01946911,0.004511624326061314,0,0,hot/deposit,0.540232,https://etherscan.io/address/0x564286362092d8e7936f0549571a803b203aaced
0x00bdb5699745f5b860228c8f939abf1b9ae374ed,Bitstamp 1,bitstamp,1640805,47.86921281,0.0044494636343975075,0,0,hot/deposit,0.538989,https://etherscan.io/address/0x00bdb5699745f5b860228c8f939abf1b9ae374ed
0x1522900b6dafac587d499a862861c0869be6e428,Bitstamp 2,bitstamp,1607109,1205.47282692,0.004408163045806551,0,0,hot/deposit,0.538163,https://etherscan.io/address/0x1522900b6dafac587d499a862861c0869be6e428
0x0d0707963952f2fba59dd06f2b425ace40b492fe,Gate.io,gateio,6341972,1630.99895616,0.004339114415234544,0,0,exchange,0.536782,https://etherscan.io/address/0x0d0707963952f2fba59dd06f2b425ace40b492fe
0x9696f59e4d72e237be84ffd425dcad154bf96976,Binance 18,binance,4628600,29601.47869201,0.004336768331511259,0,0,hot/deposit,0.536735,https://etherscan.io/address/0x9696f59e4d72e237be84ffd425dcad154bf96976
0x5f65f7b609678448494de4c87521cdf6cef1e932,Gemini 4,gemini,1996766,0.0,0.0038191891338494664,0,0,hot/deposit,0.526384,https://etherscan.io/address/0x5f65f7b609678448494de4c87521cdf6cef1e932
0x6cc5f688a315f3dc28a7781717a9a798a59fda7b,OKEx,okx,3220611,210.831336,0.0036230769939712307,0,0,exchange,0.522462,https://etherscan.io/address/0x6cc5f688a315f3dc28a7781717a9a798a59fda7b
0x89e51fa8ca5d66cd220baed62ed01e8951aa7c40,Kraken 7,kraken,1569897,160.90610146,0.0035856590204481216,0,0,hot/deposit,0.521713,https://etherscan.io/address/0x89e51fa8ca5d66cd220baed62ed01e8951aa7c40
0x2b5634c42055806a59e9107ed44d43c426e58258,KuCoin,kucoin,2828292,1.48137761,0.003368064088360309,0,0,exchange,0.517361,https://etherscan.io/address/0x2b5634c42055806a59e9107ed44d43c426e58258
0xa1d8d972560c2f8144af871db508f0b0b10a3fbf,KuCoin 3,kucoin,2750098,13.88519801,0.0033466382782310804,0,0,hot/deposit,0.516933,https://etherscan.io/address/0xa1d8d972560c2f8144af871db508f0b0b10a3fbf
0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98,Bittrex,bittrex,11598672,8700.66841802,0.0032869879029848166,0,0,exchange,0.51574,https://etherscan.io/address/0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98
0xa7efae728d2936e78bda97dc267687568dd593f3,OKEx 3,okx,2036634,4383.62423272,0.0031203476693903833,0,0,hot/deposit,0.512407,https://etherscan.io/address/0xa7efae728d2936e78bda97dc267687568dd593f3
0x274f3c32c90517975e29dfc209a23f315c1e5fc7,Hotbit,hotbit,1094621,1.77063956,0.002916147911601646,0,0,deposit/hot,0.508323,https://etherscan.io/address/0x274f3c32c90517975e29dfc209a23f315c1e5fc7
0xf16e9b0d03470827a95cdfd0cb8a8a3b46969b91,KuCoin 9,kucoin,1881890,372.58426881,0.002873039647745785,0,0,hot/deposit,0.507461,https://etherscan.io/address/0xf16e9b0d03470827a95cdfd0cb8a8a3b46969b91
0x4ad64983349c49defe8d7a4686202d24b25d0ce8,KuCoin 4,kucoin,1876309,2.06457509,0.002868452427054383,0,0,hot/deposit,0.507369,https://etherscan.io/address/0x4ad64983349c49defe8d7a4686202d24b25d0ce8
0x167a9333bf582556f35bd4d16a7e80e191aa6476,Coinone,coinone,1035976,2712.94554541,0.002832781204860484,0,0,exchange,0.506656,https://etherscan.io/address/0x167a9333bf582556f35bd4d16a7e80e191aa6476
0x4976a4a02f38326660d17bf34b431dc6e2eb2327,Binance 20,binance,2784167,71373.65204786,0.0028144934505398137,0,0,hot/deposit,0.50629,https://etherscan.io/address/0x4976a4a02f38326660d17bf34b431dc6e2eb2327
0x5041ed759dd4afc3a72b8192c143f72f4724081a,OKEx 7,okx,1400839,16.76605289,0.0025800846037958014,0,0,hot/deposit,0.501602,https://etherscan.io/address/0x5041ed759dd4afc3a72b8192c143f72f4724081a
0x46340b20830761efd32832a74d7169b29feb9758,Crypto.com 2,crypto.com,8912018,14705.64153034,0.0025763559730654566,0,0,hot/deposit,0.501527,https://etherscan.io/address/0x46340b20830761efd32832a74d7169b29feb9758
0x3cd751e6b0078be393132286c442345e5dc49699,Coinbase 4,coinbase,10029660,10974.83613067,0.002506695220899448,0,0,hot/deposit,0.500134,https://etherscan.io/address/0x3cd751e6b0078be393132286c442345e5dc49699
0xb5d85cbf7cb3ee0d56b3bb207d5fc4b82f43f511,Coinbase 5,coinbase,9518497,17354.12151377,0.00247820347929446,0,0,hot/deposit,0.499564,https://etherscan.io/address/0xb5d85cbf7cb3ee0d56b3bb207d5fc4b82f43f511
0xddfabcdc4d8ffc6d5beaf154f18b778f892a0740,Coinbase 3,coinbase,8373026,327.84358054,0.0023506755944141576,0,0,hot/deposit,0.497014,https://etherscan.io/address/0xddfabcdc4d8ffc6d5beaf154f18b778f892a0740
0xeb2629a2734e272bcc07bda959863f316f4bd4cf,Coinbase 6,coinbase,7806502,112.51478291,0.002255937471438241,0,0,hot/deposit,0.495119,https://etherscan.io/address/0xeb2629a2734e272bcc07bda959863f316f4bd4cf
0x2faf487a4414fe77e2327f0bf4ae2a264a776ad2,FTX Exchange,ftx exchange,5452989,0.23432172,0.0020752671212069646,0,0,exchange,0.491505,https://etherscan.io/address/0x2faf487a4414fe77e2327f0bf4ae2a264a776ad2
0x689c56aef474df92d44a1b70850f808488f9769c,KuCoin 2,kucoin,1005519,0.23239497,0.0019120796060267595,0,0,hot/deposit,0.488242,https://etherscan.io/address/0x689c56aef474df92d44a1b70850f808488f9769c
0xc098b2a3aa256d2140208c3de6543aaef5cd3a94,FTX Exchange 2,ftx exchange,4106290,0.00062639,0.0018136804693156914,0,0,hot/deposit,0.486274,https://etherscan.io/address/0xc098b2a3aa256d2140208c3de6543aaef5cd3a94
0xe94b04a0fed112f3664e45adb2b8915693dd5ff3,Bittrex 2,bittrex,1653546,0.0,0.0010799605983047482,0,0,hot/deposit,0.471599,https://etherscan.io/address/0xe94b04a0fed112f3664e45adb2b8915693dd5ff3
0x18916e1a2933cb349145a280473a5de8eb6630cb,Huobi 21,huobi,1571814,96.33081795,0.0010205888019207683,0,0,hot/deposit,0.470412,https://etherscan.io/address/0x18916e1a2933cb349145a280473a5de8eb6630cb
0x503828976d22510aad0201ac7ec88293211d23da,Coinbase 2,coinbase,2099362,69.7096304,0.0009869120731741507,0,0,hot/deposit,0.469738,https://etherscan.io/address/0x503828976d22510aad0201ac7ec88293211d23da
0x71660c4005ba85c37ccec55d0c4493e66fe775d3,Coinbase 1,coinbase,1561169,65.42905204,0.0008313819339158775,0,0,hot/deposit,0.466628,https://etherscan.io/address/0x71660c4005ba85c37ccec55d0c4493e66fe775d3
0x6262998ced04146fa42253a5c0af90ca02dfd2a3,Crypto.com,crypto.com,1183099,109576.75939316,0.0008115027655987103,0,0,exchange,0.46623,https://etherscan.io/address/0x6262998ced04146fa42253a5c0af90ca02dfd2a3
0x4d9ff50ef4da947364bb9650892b2554e7be5e2b,Binance 19,binance,1800552,95.16515317,0.0005660017252094322,0,0,hot/deposit,0.46132,https://etherscan.io/address/0x4d9ff50ef4da947364bb9650892b2554e7be5e2b
0x708396f17127c42383e3b9014072679b2f60b82f,Binance 11,binance,1239495,0.56399191,0.00048255730968303583,0,0,hot/deposit,0.459651,https://etherscan.io/address/0x708396f17127c42383e3b9014072679b2f60b82f
0x85b931a32a0725be14285b66f1a22178c672d69b,Binance 10,binance,1221122,0.07044718,0.00047982474552918613,0,0,hot/deposit,0.459596,https://etherscan.io/address/0x85b931a32a0725be14285b66f1a22178c672d69b
0x236f9f97e0e62388479bf9e5ba4889e46b0273c3,OKEx 2,okx,868652,0.78826628,0.001895066904183961,0,0,hot/deposit,0.428795,https://etherscan.io/address/0x236f9f97e0e62388479bf9e5ba4889e46b0273c3
0xcac725bef4f114f728cbcfd744a731c2a463c3fc,Huobi 34,huobi,873483,1.45389965,0.0006996481578997269,0,0,hot/deposit,0.40706,https://etherscan.io/address/0xcac725bef4f114f728cbcfd744a731c2a463c3fc
0xae2d4617c862309a3d75a0ffb358c7a5009c673f,Kraken 10,kraken,724896,190.19955269,0.0022450251236225322,0,0,hot/deposit,0.371104,https://etherscan.io/address/0xae2d4617c862309a3d75a0ffb358c7a5009c673f
0x28ffe35688ffffd0659aee2e34778b0ae4e193ad,Huobi 33,huobi,716914,0.61887891,0.0006276917995342377,0,0,hot/deposit,0.335165,https://etherscan.io/address/0x28ffe35688ffffd0659aee2e34778b0ae4e193ad
0xeec606a66edb6f497662ea31b5eb1610da87ab5f,Huobi 16,huobi,660407,9.52922714,0.0006017221762872431,0,0,hot/deposit,0.309218,https://etherscan.io/address/0xeec606a66edb6f497662ea31b5eb1610da87ab5f
0xe0f0cfde7ee664943906f17f7f14342e76a5cec7,Binance 12,binance,551806,0.02997637,0.0003802792761339811,0,0,hot/deposit,0.255918,https://etherscan.io/address/0xe0f0cfde7ee664943906f17f7f14342e76a5cec7
0x1151314c646ce4e0efd76d1af4760ae66a9fe30f,Bitfinex 1,bitfinex,391319,9.9617374,0.003913622386482718,0,0,hot/deposit,0.254366,https://etherscan.io/address/0x1151314c646ce4e0efd76d1af4760ae66a9fe30f
0x8f22f2063d253846b53609231ed80fa571bc0c8f,Binance 13,binance,545213,0.08512119,0.00037929871795261,0,0,hot/deposit,0.252932,https://etherscan.io/address/0x8f22f2063d253846b53609231ed80fa571bc0c8f
0x562680a4dc50ed2f14d75bf31f494cfe0b8d10a1,Hotbit 3,hotbit,446357,610.58323531,0.0018189403295669011,0,0,deposit/hot,0.237239,https://etherscan.io/address/0x562680a4dc50ed2f14d75bf31f494cfe0b8d10a1
0xf056f435ba0cc4fcd2f1b17e3766549ffc404b94,Huobi 23,huobi,491279,54.06083172,0.000523993922433425,0,0,hot/deposit,0.231555,https://etherscan.io/address/0xf056f435ba0cc4fcd2f1b17e3766549ffc404b94
0x794d28ac31bcb136294761a556b68d2634094153,Huobi 29,huobi,462765,8.02602153,0.0005108893895920991,0,0,hot/deposit,0.218462,https://etherscan.io/address/0x794d28ac31bcb136294761a556b68d2634094153
0xe59cd29be3be4461d79c0881d238cbe87d64595a,Kucoin 7,kucoin,424519,0.09572619,0.001103111888231795,0,0,hot/deposit,0.213096,https://etherscan.io/address/0xe59cd29be3be4461d79c0881d238cbe87d64595a
0x0577a79cfc63bbc0df38833ff4c4a3bf2095b404,Huobi 27,huobi,437039,0.093139,0.0004990661725101061,0,0,hot/deposit,0.206649,https://etherscan.io/address/0x0577a79cfc63bbc0df38833ff4c4a3bf2095b404
0x73f8fc2e74302eb2efda125a326655acf0dc2d1b,Huobi 35,huobi,427360,0.24131065,0.0004946178743628382,0,0,hot/deposit,0.202204,https://etherscan.io/address/0x73f8fc2e74302eb2efda125a326655acf0dc2d1b
0x3052cd6bf951449a984fe4b5a38b46aef9455c8e,Bithumb 2,bithumb,207792,0.02023213,0.005356069919393984,0,0,hot/deposit,0.200628,https://etherscan.io/address/0x3052cd6bf951449a984fe4b5a38b46aef9455c8e
0x5c985e89dde482efe97ea9f1950ad149eb73829b,Huobi 5,huobi,418881,173.99505676,0.0004907210751076793,0,0,hot/deposit,0.198311,https://etherscan.io/address/0x5c985e89dde482efe97ea9f1950ad149eb73829b
0xf66852bc122fd40bfecc63cd48217e88bda12109,Huobi 37,huobi,368979,2.65027798,0.0004677869936793337,0,0,hot/deposit,0.175396,https://etherscan.io/address/0xf66852bc122fd40bfecc63cd48217e88bda12109
0x6fc82a5fe25a5cdb58bc74600a40a69c065263f8,Gemini 2,gemini,324740,0.0,0.001302386666757916,0,0,hot/deposit,0.172181,https://etherscan.io/address/0x6fc82a5fe25a5cdb58bc74600a40a69c065263f8
0x034f854b44d28e26386c1bc37ff9b20c6380b00d,Huobi 26,huobi,360235,0.00523343,0.00046376840508550066,0,0,hot/deposit,0.171381,https://etherscan.io/address/0x034f854b44d28e26386c1bc37ff9b20c6380b00d
0x58c2cb4a6bee98c309215d0d2a38d7f8aa71211c,Huobi 39,huobi,355577,6.23840046,0.0004616276702192983,0,0,hot/deposit,0.169242,https://etherscan.io/address/0x58c2cb4a6bee98c309215d0d2a38d7f8aa71211c
0x88d34944cf554e9cccf4a24292d891f620e9c94f,Bithumb 1,bithumb,133163,0.0,0.004652298694721027,0,0,hot/deposit,0.152969,https://etherscan.io/address/0x88d34944cf554e9cccf4a24292d891f620e9c94f
0x5861b8446a2f6e19a067874c133f04c578928727,Huobi 14,huobi,307803,0.00071363,0.0004396715801596257,0,0,hot/deposit,0.147305,https://etherscan.io/address/0x5861b8446a2f6e19a067874c133f04c578928727
0xd8a83b72377476d0a66683cde20a8aad0b628713,Huobi 19,huobi,284434,0.72401994,0.00042893159881821633,0,0,hot/deposit,0.136574,https://etherscan.io/address/0xd8a83b72377476d0a66683cde20a8aad0b628713
0x2140efd7ba31169c69dfff6cdc66c542f0211825,Bithumb 3,bithumb,109473,0.0029,0.004222676049416908,0,0,hot/deposit,0.133716,https://etherscan.io/address/0x2140efd7ba31169c69dfff6cdc66c542f0211825
0x137ad9c4777e1d36e4b605e745e8f37b2b62e9c5,Huobi 24,huobi,251074,0.02125744,0.0004135999296175909,0,0,hot/deposit,0.121255,https://etherscan.io/address/0x137ad9c4777e1d36e4b605e745e8f37b2b62e9c5
0x926fc576b7facf6ae2d08ee2d4734c134a743988,Huobi 15,huobi,250862,0.0010559,0.0004135024981466517,0,0,hot/deposit,0.121158,https://etherscan.io/address/0x926fc576b7facf6ae2d08ee2d4734c134a743988
0x3fbe1f8fc5ddb27d428aa60f661eaaab0d2000ce,Bithumb: Contract 1,bithumb,83834,16.59320371,0.0035328548531200024,0,0,hot/deposit,0.108382,https://etherscan.io/address/0x3fbe1f8fc5ddb27d428aa60f661eaaab0d2000ce
0xc6bed363b30df7f35b601a5547fe56cd31ec63da,Kraken 8,kraken,189738,257.16494317,0.001099929630411464,0,0,hot/deposit,0.107381,https://etherscan.io/address/0xc6bed363b30df7f35b601a5547fe56cd31ec63da
0x0536806df512d6cdde913cf95c9886f65b1d3462,Poloniex: GNT,poloniex,164350,0.01136652,0.0016340953395767065,0,0,exchange,0.106639,https://etherscan.io/address/0x0536806df512d6cdde913cf95c9886f65b1d3462
0xfa4b5be3f2f84f56703c42eb22142744e95a2c58,Huobi 11,huobi,208991,178.59626753,0.00039425932305374445,0,0,hot/deposit,0.101931,https://etherscan.io/address/0xfa4b5be3f2f84f56703c42eb22142744e95a2c58
0x7ef35bb398e0416b81b019fea395219b65c52164,Huobi 17,huobi,202655,15.98998987,0.00039134740890340984,0,0,hot/deposit,0.099022,https://etherscan.io/address/0x7ef35bb398e0416b81b019fea395219b65c52164
0x6f48a3e70f0251d1e83a989e62aaa2281a6d5380,Huobi 22,huobi,195981,1.14906112,0.00038828015589846456,0,0,hot/deposit,0.095957,https://etherscan.io/address/0x6f48a3e70f0251d1e83a989e62aaa2281a6d5380
